"clade_name","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_2","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_3","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_4","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_5","Sample_7","Sample_8","Sample_9"
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii",0,0,0,1.98338,0,0.10165,0,0,0,0,2.26785,0,0,0,1.71584,0,0,0,0,0,0,1.35888,0,0,0,0,0,0,1.99205,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae",0,0,0,0.75039,0,0.03121,0,0,0,0,0.80152,0,0,0,0.24136,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07369,0,0,0,0,0,0,0,0,0,0,0,0.15853,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183",0,0,0,0,0,0,0,0,0,0,0,0,0.00159,0,0,0,0,0,0.01137,0,0.01004,0,0,0,0.00188,0.00815,0,0,0,0.00183,0.00016,0,0,0,0,0.00122,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_bouchesdurhonensis",0,0,0,0,0,0,0,0,0.02522,0,0.01909,0.09122,0,0,0,0,0,0,0,0,0,0.03716,0,0.03555,0,0,0,0,0,0.44849,0.07986,0,0.08787,0,0,0,0.01925,0.0184,0,0,0.1346,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_dentalis",0,0.00493,0.00301,0,0.02157,0,0,0,0,0,0,0.00225,0.01035,0.00198,0.00606,0,0,0,0.00244,0.00177,0.01327,0.00181,0.03463,0.00692,0,0.00254,0.00287,0,0,0.00887,0.00324,0,0.00029,0,0,0,0,0,0,0,0,0.00958
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_gerencseriae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-04,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii",0,0,8e-05,0.00019,0.00083,0,0,0.00013,0.0026,0,0,0.01155,0,0,0.03814,0,0,0,0,0,0.00025,0.00116,0.03853,6e-05,0,0,0,0,0,0.15208,0.00391,0.00098,0,0,0,0,0,0,0.00396,0,0.01761,0.01044
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_israelii",0,0,0,0,0,0,0,0,0,0,0,0,0.00717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024,0,0,0,0,0,0,0,0,0,0,0,0.00519
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii",0,0.00139,0,0.00036,0.00174,0.00026,0,0,0,0,0,0,0,0,0,0,0,0,0.00164,0.00077,0,0,0.01387,0,0,0,0.00214,0,0.00111,0.00394,0,0.00093,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis",0,0.00022,0.00757,0,0.00325,0,0,0,0,0,0,0,0,0.00473,0,0,0,0,0.00431,0.00278,0.00079,0,0.00467,0,0.00049,0.00525,0.00149,0,0.00016,0.00026,0,0,0,0,0,0.00496,0,0,0,0,0,0.00717
